replication,old_rmse,new_rmse,old_mae,new_mae,brier_score,coverage_95,old_coverage_95,coverage_improvement,interval_score_95,old_interval_score_95,interval_score_change,var_exceedance_95,expected_shortfall_calibration_error,drawdown_probability_5,rmse_difference_new_minus_old,mae_difference_new_minus_old
60,0.06537446137809401,0.05850451700759923,0.04870995188588692,0.042311376330913676,0.6378851701521415,0.9585448392554992,0.8849407783417935,0.07360406091370564,0.38325760000749187,0.4213523366864526,-0.03809473667896074,0.04314720812182741,-0.04589451454298307,0.40439932318104904,-0.006869944370494777,-0.0063985755549732445
61,0.0601947576728777,0.04984218023037216,0.04512528257741277,0.038204492847690626,0.6336104530570508,0.9813874788494078,0.8705583756345178,0.11082910321489003,0.30206749553855355,0.35444762331483753,-0.05238012777628398,0.0194585448392555,-0.04951027831684948,0.2876480541455161,-0.01035257744250554,-0.006920789729722147
62,0.06094300552172989,0.054134088891176824,0.045545583154017334,0.03906888455737552,0.6685023453560985,0.9602368866328257,0.8857868020304569,0.0744500846023688,0.3510510088282952,0.3868247913820966,-0.03577378255380137,0.04230118443316413,-0.03299322415989331,0.3993231810490694,-0.006808916630553066,-0.006476698596641815
63,0.06893066600171481,0.05421439681891492,0.05292656594321767,0.04172014878795089,0.6586209625826134,0.9467005076142132,0.8722504230118443,0.0744500846023689,0.3713971502577108,0.39010155324407697,-0.018704402986366164,0.05752961082910321,-0.07706841679512375,0.3925549915397631,-0.01471626918279989,-0.011206417155266782
64,0.06294870245184254,0.0533005390954331,0.04888745099493595,0.04094534613366966,0.6372281049798689,0.9763113367174281,0.8984771573604061,0.07783417935702197,0.3357432243812303,0.32603563407325464,0.009707590307975633,0.021150592216582064,-0.07478292856065663,0.32741116751269034,-0.009648163356409445,-0.007942104861266293
65,0.06836629549617346,0.0547722873454785,0.0523159173729971,0.04029802998291914,0.6643695619196609,0.9450084602368867,0.8206429780033841,0.12436548223350252,0.3439316508115256,0.4644749945154487,-0.12054334370392311,0.05499153976311337,-0.02826901068160989,0.377326565143824,-0.013594008150694954,-0.012017887390077961
66,0.06977320083350254,0.05683931773717039,0.05347055612149272,0.044015380555716625,0.6612818582012838,0.9475465313028765,0.8485617597292724,0.09898477157360408,0.3571245111513313,0.4125842933287879,-0.05545978217745656,0.05245346869712352,-0.06722573642946336,0.3790186125211506,-0.01293388309633215,-0.009455175565776096
67,0.06254946842921617,0.051554213240583215,0.04759590319629297,0.03967189741961394,0.6531782045283995,0.9627749576988156,0.8840947546531303,0.07868020304568535,0.31590328786724364,0.3366575522289498,-0.020754264361706132,0.03722504230118443,-0.058107372922200085,0.3790186125211506,-0.010995255188632959,-0.007924005776679031
68,0.08152759635585485,0.06967400510563967,0.0624529244018598,0.05138678879245354,0.6869206136704697,0.8959390862944162,0.8197969543147208,0.07614213197969544,0.4353196824338425,0.5422595452563862,-0.1069398628225437,0.10998307952622674,-0.029448243765169163,0.44923857868020306,-0.011853591250215179,-0.01106613560940626
69,0.06114550939571654,0.053355747786923216,0.04650300952538314,0.040191546116502434,0.6497962308149876,0.961082910321489,0.8705583756345178,0.09052453468697119,0.31915374310927996,0.36265711155179053,-0.04350336844251057,0.03637901861252115,-0.041586884781869865,0.33756345177664976,-0.0077897616087933205,-0.006311463408880703
70,0.07605827072576166,0.06199168888848718,0.05815458787831741,0.04573900593826215,0.6529800215101749,0.934010152284264,0.8240270727580372,0.10998307952622677,0.3937643991228364,0.5038130266875908,-0.11004862756475436,0.06345177664974619,-0.03701938849196679,0.3925549915397631,-0.014066581837274474,-0.012415581940055265
71,0.06850990078929246,0.06005750042977509,0.05106919031524934,0.04447156235609063,0.6515615701300482,0.9509306260575296,0.8612521150592216,0.08967851099830804,0.3743527054363318,0.45055464000452305,-0.07620193456819124,0.0532994923857868,-0.03692330348120734,0.434010152284264,-0.008452400359517373,-0.0065976279591587125
72,0.06633143847284785,0.05416097425314289,0.05096579391451392,0.03998930140624167,0.6505077979721243,0.9576988155668359,0.8460236886632826,0.1116751269035533,0.34217679995261646,0.4346346895768125,-0.09245788962419604,0.03807106598984772,-0.04628905754307336,0.3739424703891709,-0.012170464219704961,-0.010976492508272248
73,0.0644794693354733,0.052804617718350814,0.047737087714456554,0.039311437304065985,0.6539864237485425,0.9517766497461929,0.8807106598984772,0.07106598984771573,0.3469859170343787,0.38088051799143935,-0.03389460095706065,0.047377326565143825,-0.050256243400549044,0.36717428087986465,-0.011674851617122485,-0.008425650410390569
74,0.06601113740066344,0.05679154665938178,0.05046074354018351,0.041500365177210126,0.6489070752435138,0.9509306260575296,0.8477157360406091,0.10321489001692052,0.3577454803357777,0.4270055190713893,-0.0692600387356116,0.050761421319796954,-0.037254457851013695,0.34856175972927245,-0.009219590741281668,-0.008960378362973385
75,0.06907452502445205,0.05254367197019558,0.05256174690478326,0.0400397431564964,0.6306535672729602,0.9771573604060914,0.9128595600676819,0.06429780033840948,0.3409826421029779,0.348691155094053,-0.0077085129910751116,0.021996615905245348,-0.09794232792856325,0.35279187817258884,-0.016530853054256472,-0.01252200374828686
76,0.07226401924272703,0.0696761890300328,0.05527409517132277,0.05229266457403389,0.6907420066138286,0.9272419627749577,0.8434856175972927,0.08375634517766506,0.4148611948085294,0.49028083903002273,-0.07541964422149333,0.077834179357022,-0.02716903479656249,0.5,-0.0025878302126942365,-0.0029814305972888783
77,0.07500921634246552,0.0645313733888291,0.05824338341279624,0.04917866537074132,0.6758987204006595,0.9297800338409475,0.8519458544839256,0.07783417935702197,0.4044877360675193,0.4949610359262827,-0.0904732998587634,0.0676818950930626,-0.044066860327210855,0.3646362098138748,-0.010477842953636421,-0.009064718042054914
78,0.06651565510615684,0.0554520732633399,0.05082035343317475,0.04145377544370281,0.6396501200388189,0.9796954314720813,0.8950930626057529,0.08460236886632833,0.34495782877091946,0.3795410444101119,-0.03458321563919242,0.024534686971235193,-0.07147108367508573,0.40439932318104904,-0.011063581842816937,-0.009366577989471943
79,0.07316913033659643,0.06453072877208214,0.05568911359084768,0.04851906401531808,0.6729462009082584,0.8984771573604061,0.8062605752961083,0.09221658206429784,0.40899515998709707,0.5440384540791432,-0.13504329409204613,0.09729272419627749,-0.016860963765115117,0.40186125211505924,-0.008638401564514286,-0.007170049575529601
80,0.06360798330956259,0.05116556708026159,0.04990668920115422,0.03965412959304343,0.6262292085652079,0.9830795262267343,0.8950930626057529,0.08798646362098139,0.32768000280492576,0.34290967351747254,-0.015229670712546772,0.015228426395939087,-0.09702360502042312,0.4069373942470389,-0.012442416229301,-0.010252559608110792
81,0.0715530304849573,0.05887975429872399,0.053661407601029214,0.042641157979276936,0.6535655955429049,0.9636209813874789,0.8460236886632826,0.11759729272419628,0.3451517874528733,0.45570573049603186,-0.11055394304315858,0.03807106598984772,-0.038269733143820095,0.4357021996615905,-0.01267327618623331,-0.011020249621752277
82,0.07108890643202229,0.06123183221188677,0.05319994742610843,0.044985110703641994,0.6704750304925752,0.9407783417935702,0.8595600676818951,0.08121827411167515,0.3742823042458884,0.47517594236531596,-0.10089363811942759,0.05752961082910321,-0.030046521232945628,0.4010152284263959,-0.009857074220135514,-0.008214836722466437
83,0.07356568149720182,0.059473069915667386,0.05607276428393541,0.04363204821266247,0.6683952051259265,0.9348561759729273,0.8468697123519459,0.08798646362098139,0.40209006916027207,0.4789402284761295,-0.07685015931585742,0.06937394247038917,-0.04874546950742392,0.46954314720812185,-0.01409261158153443,-0.012440716071272936
84,0.06305542906990864,0.05273551451347869,0.04827426135117668,0.040238553164399546,0.6627743613396911,0.9729272419627749,0.8900169204737732,0.08291032148900168,0.33099718363710795,0.3663368353324481,-0.035339651695340146,0.025380710659898477,-0.07166904941567984,0.42470389170896783,-0.010319914556429957,-0.008035708186777131
