horizon,method,window,level,coverage,coverage_error,average_width,normalized_width,interval_score,winkler_score,var_exceedance_rate,coverage_acceptance,var_acceptance,objective,selection_records,selected,selection_reason
40,volatility_stratified,250.0,0.95,0.9053763440860215,-0.04462365591397843,0.5078117867787423,6.3427141848070585,0.9551451305017711,0.9551451305017711,0.10967741935483871,False,False,16.698852555021645,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,volatility_stratified,500.0,0.95,0.9032258064516129,-0.04677419354838708,0.4571129281025482,5.7094709666477,0.8009596648728291,0.8009596648728291,0.09247311827956989,False,False,13.998838524720696,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,volatility_stratified,,0.95,0.9075268817204301,-0.0424731182795699,0.4162299907781333,5.198831408379378,0.729429422448614,0.729429422448614,0.12688172043010754,False,False,14.653792473468267,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,regime_stratified,250.0,0.95,0.9032258064516129,-0.04677419354838708,0.5793151993572788,7.235812220401888,1.018217055856956,1.018217055856956,0.11182795698924732,False,False,17.680187295308617,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,regime_stratified,500.0,0.95,0.9139784946236559,-0.036021505376344076,0.46731568534339585,5.836906317225459,0.7757256150101747,0.7757256150101747,0.08172043010752689,False,False,12.715916102743467,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,regime_stratified,,0.95,0.9096774193548387,-0.040322580645161255,0.4446330988088515,5.55359433608105,0.7499228148230926,0.7499228148230926,0.08172043010752689,False,False,12.565674773086277,465,True,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,volatility_regime,250.0,0.95,0.9053763440860215,-0.04462365591397843,0.5228981286287345,6.531146901297915,0.9702314723517633,0.9702314723517633,0.10967741935483871,False,False,16.8872852715125,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,volatility_regime,500.0,0.95,0.9032258064516129,-0.04677419354838708,0.4672702270570649,5.836338530251949,0.8111169638273459,0.8111169638273459,0.09247311827956989,False,False,14.125706088324947,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
40,volatility_regime,,0.95,0.9032258064516129,-0.04677419354838708,0.430630987057123,5.378703963038886,0.7735529677533589,0.7735529677533589,0.12258064516129032,False,False,15.161897397837667,465,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,global,250.0,0.95,0.8687089715536105,-0.08129102844638947,0.8047227097327199,7.98612487065322,1.4900048840619522,1.4900048840619522,0.13129102844638948,False,False,22.103106012579264,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,global,500.0,0.95,0.9299781181619255,-0.020021881838074407,0.7266100732883101,7.210929562907787,1.0130763850026507,1.0130763850026507,0.08096280087527352,True,False,12.402856741531181,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,global,,0.95,0.9277899343544858,-0.0222100656455142,0.7170938572352531,7.116489964302363,1.063045939936637,1.063045939936637,0.12253829321663019,True,False,15.065060094823407,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,volatility_stratified,250.0,0.95,0.8358862144420132,-0.11411378555798679,0.6537744534919795,6.4881037401866735,1.4215960414304882,1.4215960414304882,0.15536105032822758,False,False,23.94062321690057,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,volatility_stratified,500.0,0.95,0.9234135667396062,-0.026586433260393783,0.5121832509763286,5.08294267016852,0.69999183491404,0.69999183491404,0.0787746170678337,False,False,9.44895647361739,457,True,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,volatility_stratified,,0.95,0.9277899343544858,-0.0222100656455142,0.5019063810705096,4.980954289134028,0.7153456085982054,0.7153456085982054,0.12253829321663019,True,False,11.614457508302031,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,regime_stratified,250.0,0.95,0.8687089715536105,-0.08129102844638947,0.8599500927251787,8.53420531068909,1.5452322670544107,1.5452322670544107,0.13129102844638948,False,False,22.65118645261513,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,regime_stratified,500.0,0.95,0.9212253829321663,-0.028774617067833685,0.6795844498326452,6.744243962395787,1.1225544112804544,1.1225544112804544,0.07439824945295405,False,False,13.511206226004655,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,regime_stratified,,0.95,0.9168490153172867,-0.03315098468271327,0.6533284776772316,6.483677844778488,1.103478168295098,1.103478168295098,0.07439824945295405,False,False,13.496946951136554,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,volatility_regime,250.0,0.95,0.8358862144420132,-0.11411378555798679,0.676510359489364,6.713736473234375,1.4443319474278726,1.4443319474278726,0.15536105032822758,False,False,24.166255949948273,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,volatility_regime,500.0,0.95,0.9190371991247265,-0.030962800875273477,0.5063420857286912,5.0249745346933254,0.7630312129282762,0.7630312129282762,0.0787746170678337,False,False,10.249618407263208,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
60,volatility_regime,,0.95,0.925601750547046,-0.02439824945295399,0.5218808134044318,5.179181962977232,0.797511905248303,0.797511905248303,0.11816192560175055,True,False,12.298590597095679,457,False,không candidate nào đạt đồng thời acceptance; chọn composite validation objective
