horizon,anchor_mode,level,method,coverage,coverage_error,pinball_loss,average_upper_bound,objective,fallback_rate,selected
20,historical_peak,0.8,volatility_regime,0.8625792811839323,0.0625792811839323,0.015438365521079803,0.25965371893417655,0.08061418389435386,0.1649048625792812,False
20,historical_peak,0.9,global,0.8224101479915433,-0.0775898520084567,0.010985874119820905,0.2527779492321818,0.09110350562059942,0.0,False
20,historical_peak,0.9,current_drawdown_stratified,0.8562367864693446,-0.043763213530655376,0.011742304789104045,0.26945860987658066,0.058200104418525224,0.0,False
20,historical_peak,0.9,volatility_stratified,0.8308668076109936,-0.06913319238900639,0.010800162595074925,0.2582776012183251,0.08251613099626456,0.0,False
20,historical_peak,0.9,regime_stratified,0.8858350951374208,-0.014164904862579264,0.009916759900934486,0.26910527141891616,0.02677271747770291,0.1649048625792812,False
20,historical_peak,0.9,current_drawdown_regime,0.8435517970401691,-0.056448202959830884,0.012058319531440567,0.26713876501303824,0.07117791014140183,0.17124735729386892,False
20,historical_peak,0.9,volatility_regime,0.9027484143763214,0.0027484143763213398,0.01144843646506397,0.28172546687305705,0.017014105510115878,0.1649048625792812,True
20,historical_peak,0.95,global,0.8858350951374208,-0.0641649048625792,0.007588926908372852,0.2751519448875602,0.07450535121982764,0.0,False
20,historical_peak,0.95,current_drawdown_stratified,0.9133192389006343,-0.03668076109936569,0.00854831488534942,0.29664782520519845,0.048195554236767094,0.0,False
20,historical_peak,0.95,volatility_stratified,0.8900634249471459,-0.0599365750528541,0.007741069213748377,0.2760905719994653,0.07043854998659714,0.0,False
20,historical_peak,0.95,regime_stratified,0.9556025369978859,0.005602536997885932,0.0068776869520504325,0.30213028001230585,0.015501526750059422,0.1649048625792812,True
20,historical_peak,0.95,current_drawdown_regime,0.9281183932346723,-0.021881606765327688,0.00831546432076651,0.2975077245886839,0.03317214833198104,0.17124735729386892,False
20,historical_peak,0.95,volatility_regime,0.9365750528541226,-0.013424947145877386,0.008086187652921425,0.30261957029088704,0.024537330501707685,0.1649048625792812,False
20,historical_peak,0.99,global,0.9640591966173362,-0.025940803382663802,0.0027521160824628653,0.33786896557992624,0.03207160912092593,0.0,False
