horizon,anchor_mode,level,stratum_type,stratum,observations,conditional_coverage,coverage_error
20,historical_peak,0.9,regime,3,1033,0.9119070667957405,0.011907066795740495
20,historical_peak,0.9,regime,4,49,1.0,0.09999999999999998
20,historical_peak,0.9,volatility_bin,0,257,0.8871595330739299,-0.012840466926070104
20,historical_peak,0.9,volatility_bin,1,321,0.9345794392523364,0.03457943925233642
20,historical_peak,0.9,volatility_bin,2,604,0.8824503311258278,-0.017549668874172197
20,historical_peak,0.9,current_drawdown_bin,0,775,0.8877419354838709,-0.012258064516129097
20,historical_peak,0.9,current_drawdown_bin,1,382,0.9319371727748691,0.03193717277486907
20,historical_peak,0.9,current_drawdown_bin,2,25,0.68,-0.21999999999999997
20,historical_peak,0.95,regime,0,100,0.98,0.030000000000000027
20,historical_peak,0.95,regime,3,1033,0.9428848015488868,-0.007115198451113192
20,historical_peak,0.95,regime,4,49,1.0,0.050000000000000044
20,historical_peak,0.95,volatility_bin,0,257,0.9221789883268483,-0.027821011673151652
20,historical_peak,0.95,volatility_bin,1,321,0.9470404984423676,-0.0029595015576323602
20,historical_peak,0.95,volatility_bin,2,604,0.9602649006622517,0.01026490066225172
20,historical_peak,0.95,current_drawdown_bin,0,775,0.9290322580645162,-0.020967741935483786
20,historical_peak,0.95,current_drawdown_bin,1,382,0.9842931937172775,0.03429319371727757
20,historical_peak,0.95,current_drawdown_bin,2,25,1.0,0.050000000000000044
20,historical_peak,0.99,regime,0,100,1.0,0.010000000000000009
20,historical_peak,0.99,regime,3,1033,0.9835430784123911,-0.00645692158760891
20,historical_peak,0.99,regime,4,49,1.0,0.010000000000000009
20,historical_peak,0.99,volatility_bin,0,257,0.933852140077821,-0.056147859922178966
20,historical_peak,0.99,volatility_bin,1,321,1.0,0.010000000000000009
20,historical_peak,0.99,volatility_bin,2,604,1.0,0.010000000000000009
20,historical_peak,0.99,current_drawdown_bin,0,775,0.9780645161290322,-0.011935483870967767
20,historical_peak,0.99,current_drawdown_bin,1,382,1.0,0.010000000000000009
20,historical_peak,0.99,current_drawdown_bin,2,25,1.0,0.010000000000000009
20,origin_peak,0.8,regime,0,100,0.51,-0.29000000000000004
20,origin_peak,0.8,regime,3,1033,0.8499515972894482,0.0499515972894482
20,origin_peak,0.8,regime,4,49,1.0,0.19999999999999996
20,origin_peak,0.8,volatility_bin,0,257,0.8404669260700389,0.04046692607003888
20,origin_peak,0.8,volatility_bin,1,321,0.8722741433021807,0.07227414330218063
20,origin_peak,0.8,volatility_bin,2,604,0.7980132450331126,-0.001986754966887494
20,origin_peak,0.8,current_drawdown_bin,0,775,0.8103225806451613,0.010322580645161228
20,origin_peak,0.8,current_drawdown_bin,1,382,0.8900523560209425,0.09005235602094241
20,origin_peak,0.8,current_drawdown_bin,2,25,0.4,-0.4
20,origin_peak,0.9,regime,0,100,0.67,-0.22999999999999998
20,origin_peak,0.9,regime,3,1033,0.9109390125847048,0.010939012584704755
20,origin_peak,0.9,regime,4,49,1.0,0.09999999999999998
20,origin_peak,0.9,volatility_bin,0,257,0.9027237354085603,0.0027237354085603016
20,origin_peak,0.9,volatility_bin,1,321,0.9314641744548287,0.03146417445482863
20,origin_peak,0.9,volatility_bin,2,604,0.8708609271523179,-0.029139072847682135
20,origin_peak,0.9,current_drawdown_bin,0,775,0.88,-0.020000000000000018
20,origin_peak,0.9,current_drawdown_bin,1,382,0.9397905759162304,0.039790575916230364
20,origin_peak,0.9,current_drawdown_bin,2,25,0.64,-0.26
20,origin_peak,0.95,regime,0,100,0.96,0.010000000000000009
