horizon,alpha,rmse,rmse_standard_error,mae,directional_accuracy,relative_improvement_vs_drift,selected,selection_reason,selected_center
60,0.55,0.12246174944742168,0.018757521535283397,0.09770706378230223,0.6792287467134093,-0.13716933263308753,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.6,0.13098194522003112,0.019110906933559872,0.10560042737563799,0.6783523225241017,-0.2162871419438341,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.65,0.14008585534324378,0.01951599756251195,0.1143002575573224,0.6783523225241017,-0.30082527279595145,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.7,0.14966699956435964,0.019964160423918388,0.12355971089996028,0.6783523225241017,-0.38979495866889063,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.75,0.15963947396453257,0.020449539948692506,0.13327511537197184,0.6783523225241017,-0.48239850311861404,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.8,0.16993439773769212,0.020968098683196372,0.14337398172486007,0.677475898334794,-0.5779962848705293,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.85,0.18049660500684334,0.021516923708135165,0.15383581914485814,0.677475898334794,-0.6760760383085602,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.9,0.19128182428355694,0.022093772155876476,0.16447402081401913,0.677475898334794,-0.7762266621771804,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,0.95,0.20225438235355864,0.02269679233637307,0.17519272200885697,0.677475898334794,-0.8781168980593554,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
60,1.0,0.21338538154924827,0.02332436140610434,0.1859558085615411,0.677475898334794,-0.9814784046850337,False,one-standard-error shrinkage; best alpha=0.20,random_walk_drift_fallback
